yyyymmdd,yyyy,deal_value,public,private,tender_offer,all_stock,carbidder,bidder_size,sigma_bidder,run_up_bidder,hostile,horz,relsize,bidder_mtb,bidder_fcf,bidder_lev
20130828,2013,46,0,1,0,0,-0.0198981,655725.38,0.020902,0.89123482,0,1,0.065902576,2.9782968,0.17812486,0
20130820,2013,120.2,0,1,0,0,-0.082338698,972480.69,0.0201267,1.0220931,0,1,0.11057957,1.7974316,0.004345377,0
20130819,2013,334.45001,0,1,0,0,-0.0038903,12800000,0.016239,1.046494,0,0,0.022395207,1.7108963,0.081113152,0.27505124
20130815,2013,602.71997,1,0,1,0,-0.059190001,8205320,0.0157915,0.92006427,0,1,0.077212393,2.3289039,0.094950005,0.001496009
20130814,2013,56.48,1,0,0,0,-0.0307393,4072952,0.0156589,1.069443,0,0,0.01310745,1.3645213,0.05736408,0.23071899
20130813,2013,227.55,0,1,0,1,-0.2481977,649817.31,0.0432976,0.54475731,0,0,0.3087517,4.9740272,-0.026049538,0
20130809,2013,25,0,1,0,0,-0.0093034,754207.5,0.024886699,1.708246,0,0,0.028968714,3.6556606,-0.14497191,0.016761487
20130808,2013,17.030001,0,1,0,1,-0.0112508,99669.898,0.14114849,3.2908111,0,0,0.26609376,1.3868089,-1.1157701,0.010470833
20130807,2013,465,0,1,0,0,0.028669599,2755707,0.025921701,1.014902,0,1,0.16089965,1.0464827,0.25274089,0.020126551
20130801,2013,409.5,0,1,0,0,0.14270259,9904126,0.020427899,0.8507877,0,0,0.042038806,1.6861337,0.016387125,0.15330176
